satz_nr;wort;auto_tag;manual_tag;anmerkung;;;;;;;
0;If;IN;IN;;;;;;;;
0;there;EX;EX;;;;;;;;
0;were;VBD;VBD;;;;;;;;
0;a;DT;DT;;;;;;;;
0;time;NN;NN;;;;;;;;
0;to;TO;TO;;;;;;;;
0;work;VB;VB;;;;;;;;
0;together;RB;RB;;;;;;;;
0;,;,;,;;;;;;;;
0;its;PRP$;PRP$;token error;;;;;;;
0;now;RB;RB;;;;;;;;
0;.;.;.;;;;;;;;
;;;;;;;;;;;
1;How;WRB;WRB;;;;;;;;
1;many;JJ;JJ;;;;;;;;
1;net;JJ;JJ;;;;;;;;
1;jobs;NNS;NNS;;;;;;;;
1;did;VBD;VBD;;;;;;;;
1;he;PRP;PRP;;;;;;;;
1;create;VB;VB;;;;;;;;
1;?;.;.;;;;;;;;
;;;;;;;;;;;
2;Its;PRP$;PRP$;token error;;;;;;;
2;sad;JJ;JJ;;;;;;;;
2;she;PRP;PRP;;;;;;;;
2;uses;VBZ;VBZ;;;;;;;;
2;her;PRP$;PRP$;;;;;;;;
2;skills;NNS;NNS;;;;;;;;
2;on;IN;IN;;;;;;;;
2;such;PDT;PDT;;;;;;;;
2;a;DT;DT;;;;;;;;
2;excreble;JJ;JJ;;;;;;;;
2;endeavour;NN;NN;;;;;;;;
2;.;.;.;;;;;;;;
;;;;;;;;;;;
3;You;PRP;PRP;;;;;;;;
3;are;VBP;VBP;;;;;;;;
3;nt;RB;RB;;;;;;;;
3;an;DT;DT;;;;;;;;
3;undecided;JJ;JJ;;;;;;;;
3;independent;NN;NN;;;;;;;;
3;,;,;,;;;;;;;;
3;you;PRP;PRP;;;;;;;;
3;re;VBP;VBP;;;;;;;;
3;a;DT;DT;;;;;;;;
3;Trump;NNP;NNP;;;;;;;;
3;supporter;NN;NN;;;;;;;;
3;.;.;.;;;;;;;;
;;;;;;;;;;;
4;And;CC;CC;;;;;;;;
4;this;DT;DT;;;;;;;;
4;is;VBZ;VBZ;;;;;;;;
4;contentious;JJ;JJ;;;;;;;;
4;but;CC;CC;;;;;;;;
4;certainly;RB;RB;;;;;;;;
4;many;JJ;JJ;;;;;;;;
4;people;NNS;NNS;;;;;;;;
4;especially;RB;RB;;;;;;;;
4;career;NN;NN;;;;;;;;
4;women;NNS;NNS;;;;;;;;
4;believe;VBP;VBP;;;;;;;;
4;they;PRP;PRP;;;;;;;;
4;are;VBP;VBP;;;;;;;;
4;still;RB;RB;;;;;;;;
4;disadvantaged;JJ;JJ;;;;;;;;
4;based;VBN;VBN;;;;;;;;
4;on;IN;IN;;;;;;;;
4;gender;NN;NN;;;;;;;;
4;in;IN;IN;;;;;;;;
4;the;DT;DT;;;;;;;;
4;workplace;NN;NN;;;;;;;;
4;,;,;,;;;;;;;;
4;that;IN;IN;;;;;;;;
4;they;PRP;PRP;;;;;;;;
4;are;VBP;VBP;;;;;;;;
4;held;VBN;VBN;;;;;;;;
4;to;IN;IN;;;;;;;;
4;higher;JJR;JJR;;;;;;;;
4;standards;NNS;NNS;;;;;;;;
4;,;,;,;;;;;;;;
4;and;CC;CC;;;;;;;;
4;that;IN;IN;;;;;;;;
4;they;PRP;PRP;;;;;;;;
4;are;VBP;VBP;;;;;;;;
4;paid;VBN;VBN;;;;;;;;
4;less;JJR;JJR;;;;;;;;
4;for;IN;IN;;;;;;;;
4;equal;JJ;JJ;;;;;;;;
4;work;NN;NN;;;;;;;;
4;.;.;.;;;;;;;;
;;;;;;;;;;;
5;Just;RB;RB;;;;;;;;
5;so;RB;RB;;;;;;;;
5;incredibly;RB;RB;;;;;;;;
5;off;RP;RP;;;;;;;;
5;topic;NN;NN;;;;;;;;
5;and;CC;CC;;;;;;;;
5;politicly;RB;RB;;;;;;;;
5;irrelevant;JJ;JJ;;;;;;;;
5;.;.;.;;;;;;;;
;;;;;;;;;;;
6;Terrible;JJ;JJ;;;;;;;;
6;for;IN;IN;;;;;;;;
6;the;DT;DT;;;;;;;;
6;under;IN;JJ;tokerror undereducated;;;;;;;
6;educated;VBN;JJ;;;;;;;;
6;blue;JJ;JJ;;;;;;;;
6;collar;NN;NN;;;;;;;;
6;worker;NN;NN;;;;;;;;
6;who;WP;WP;;;;;;;;
6;had;VBD;VBD;;;;;;;;
6;no;DT;DT;;;;;;;;
6;other;JJ;JJ;;;;;;;;
6;skills;NNS;NNS;;;;;;;;
6;,;,;,;;;;;;;;
6;not;RB;RB;;;;;;;;
6;for;IN;IN;;;;;;;;
6;the;DT;DT;;;;;;;;
6;average;JJ;JJ;;;;;;;;
6;consumer;NN;NN;;;;;;;;
6;who;WP;WP;;;;;;;;
6;now;RB;RB;;;;;;;;
6;had;VBD;VBD;;;;;;;;
6;access;NN;NN;;;;;;;;
6;to;IN;IN;;in vor NPs und to vor VB;;;;;;
6;cheaper;JJR;JJR;;;;;;;;
6;and;CC;CC;;;;;;;;
6;reliable;JJ;JJ;;;;;;;;
6;goods;NNS;NNS;;;;;;;;
6;from;IN;IN;;;;;;;;
6;abroad;RB;RB;;;;;;;;
6;.;.;.;;;;;;;;
;;;;;;;;;;;
7;Ill;NNP;PRP;;tokenization error I will;;x;;;;
7;actually;RB;RB;;;;;;;;
7;chat;VBP;VBP;;;;;;;;
7;with;IN;IN;;;;;;;;
7;dude;NN;NN;;;;;;;;
7;if;IN;IN;;;;;;;;
7;I;PRP;PRP;;;;;;;;
7;were;VBD;VBD;;;;;;;;
7;to;TO;TO;;;;;;;;
7;get;VB;VB;;;;;;;;
7;his;PRP$;PRP$;;;;;;;;
7;number;NN;NN;;;;;;;;
7;.;.;.;;;;;;;;
;;;;;;;;;;;
8;I;PRP;PRP;;;;;;;;
8;do;VBP;VBP;;;;;;;;
8;nt;RB;RB;;;;;;;;
8;think;VB;VB;;;;;;;;
8;a;DT;DT;;;;;;;;
8;Democratic;JJ;JJ;;;;;;;;
8;electoral;JJ;JJ;;;;;;;;
8;sweep;NN;NN;;;;;;;;
8;is;VBZ;VBZ;;;;;;;;
8;even;RB;RB;;;;;;;;
8;necessary;JJ;JJ;;;;;;;;
8;,;,;,;;;;;;;;
8;look;VB;VB;;;;;;;;
8;at;IN;IN;;;;;;;;
8;how;WRB;WRB;;;;;;;;
8;a;DT;DT;;;;;;;;
8;lot;NN;NN;;;;;;;;
8;of;IN;IN;;;;;;;;
8;Republicans;NNPS;NNPS;;;;;;;;
8;have;VBP;VBP;;;;;;;;
8;even;RB;RB;;;;;;;;
8;come;VBN;VBN;;;;;;;;
8;around;RB;RB;;;;;;;;
8;to;IN;IN;;;;;;;;
8;gay;JJ;JJ;;;;;;;;
